model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,train_time_s
XGBoost,0.7898550724637681,0.75,0.6792452830188679,0.7128712871287128,0.8665926748057713,0.7931318982259388,0.347
FT-Transformer,0.38405797101449274,0.38405797101449274,1.0,0.5549738219895288,0.45904550499445057,0.4011254559342108,12.793
LightGBM,0.7246376811594203,0.9411764705882353,0.3018867924528302,0.45714285714285713,0.8170921198668147,0.788616969555681,0.571
TabPFN,0.6666666666666666,1.0,0.1320754716981132,0.23333333333333334,0.7653718091009989,0.6952732789484258,6.17
