date,resource,risk_score
2023-01-02,DRAM,0.001575822995372
2023-01-09,DRAM,3.850946607353981e-05
2023-01-16,DRAM,0.0008832466091683
2023-01-23,DRAM,0.0012973674372517
2023-01-30,DRAM,0.0084501904049081
2023-02-06,DRAM,0.0011439327239589
2023-02-13,DRAM,0.0011439327239589
2023-02-20,DRAM,0.0014937735280254
2023-02-27,DRAM,0.0001574456201735
2023-03-06,DRAM,0.0001604430825818
2023-03-13,DRAM,0.0001892310418185
2023-03-20,DRAM,4.83500466046965e-05
2023-03-27,DRAM,3.929552512281051e-05
2023-04-03,DRAM,4.988444532551787e-05
2023-04-10,DRAM,0.0002084311398206
2023-04-17,DRAM,0.0010585637980406
2023-04-24,DRAM,0.001267824933717
2023-05-01,DRAM,0.0013580360851013
2023-05-08,DRAM,0.0016089352205373
2023-05-15,DRAM,0.0163455519660543
2023-05-22,DRAM,0.0063352600676206
2023-05-29,DRAM,0.0051257468075018
2023-06-05,DRAM,4.905767159669864e-05
2023-06-12,DRAM,0.0001377464699584
2023-06-19,DRAM,6.781064648895772e-05
2023-06-26,DRAM,6.720674223702046e-05
2023-07-03,DRAM,0.000126967017418
2023-07-10,DRAM,0.000121007871186
2023-07-17,DRAM,6.477735069751892e-05
2023-07-24,DRAM,5.817821328969844e-05
2023-07-31,DRAM,0.0005984649975958
2023-08-07,DRAM,5.291781054544829e-05
2023-08-14,DRAM,4.899305670647361e-05
2023-08-21,DRAM,8.807494736298398e-05
2023-08-28,DRAM,8.094352165768579e-05
2023-09-04,DRAM,0.0001143547806728
2023-09-11,DRAM,0.000112937726443
2023-09-18,DRAM,0.0001594148096024
2023-09-25,DRAM,5.834949929593481e-05
2023-10-02,DRAM,0.0001186715470766
2023-10-09,DRAM,0.0002441739307337
2023-10-16,DRAM,0.0001515109767567
2023-10-23,DRAM,0.0021800157264274
2023-10-30,DRAM,0.0042971244013279
2023-11-06,DRAM,0.9996122338794798
2023-11-13,DRAM,0.9994790014314674
2023-11-20,DRAM,0.9994238469396804
2023-11-27,DRAM,0.0035830403555177
2023-12-04,DRAM,0.0078316887872245
2023-12-11,DRAM,0.0068511008404863
2023-12-18,DRAM,0.0045278382732247
2023-12-25,DRAM,0.0150448595911087
2024-01-01,DRAM,0.9862717296274296
2024-01-08,DRAM,0.9949035957094954
2024-01-15,DRAM,0.9943303277999588
2024-01-22,DRAM,0.9977446884655888
2024-01-29,DRAM,0.9950727746039536
2024-02-05,DRAM,0.9946382001411184
2024-02-12,DRAM,0.9912857498285758
2024-02-19,DRAM,0.992982546403341
2024-02-26,DRAM,0.9778508936821017
2024-03-04,DRAM,0.9821961322812532
2024-03-11,DRAM,0.9967646425392236
2024-03-18,DRAM,0.9999382497625112
2024-03-25,DRAM,0.9999549959489464
2024-04-01,DRAM,0.9998026537603312
2024-04-08,DRAM,0.985793242032963
2024-04-15,DRAM,0.9850554879190696
2024-04-22,DRAM,0.970274530821738
2024-04-29,DRAM,0.981595482595989
2024-05-06,DRAM,0.9780943733205136
2024-05-13,DRAM,0.997169025810935
2024-05-20,DRAM,0.998699475385053
2024-05-27,DRAM,0.998675151014588
2024-06-03,DRAM,0.9969732610984826
2024-06-10,DRAM,0.9985013916919562
2024-06-17,DRAM,0.993407979814774
2024-06-24,DRAM,0.9920883443812684
2024-07-01,DRAM,0.9908567807705398
2024-07-08,DRAM,0.990555773695054
2024-07-15,DRAM,0.988306182192034
2024-07-22,DRAM,0.9888238328953284
2024-07-29,DRAM,0.99654679981433
2024-08-05,DRAM,0.9998858845391668
2024-08-12,DRAM,0.9998189659621488
2024-08-19,DRAM,0.9999144254524096
2024-08-26,DRAM,0.9989377580637416
2024-09-02,DRAM,0.9997939891174344
2024-09-09,DRAM,0.9999108109522716
2024-09-16,DRAM,0.999683213471574
2024-09-23,DRAM,0.998723546819266
2024-09-30,DRAM,0.999955394195851
2024-10-07,DRAM,0.9999577455836648
2024-10-14,DRAM,0.9999439232691631
