price_latest,price_trend_4w,price_zscore_8w,forecast_point_1m,forecast_interval_width_1m,forecast_disagreement_1m,forecast_unstable_flag,signal_severity_mean_4w,signal_count_4w,hhi_country,resource_id,week_start,resource
53.21588897705078,,,,,,,1.0,3.0,0.82,hbm,2023-01-02,HBM
56.322879791259766,,,,,,,1.0,4.0,0.82,hbm,2023-01-09,HBM
56.20366382598877,,,,,,,1.0,6.0,0.82,hbm,2023-01-16,HBM
61.339779663085935,,,,,,,1.0,8.0,0.82,hbm,2023-01-23,HBM
61.1230224609375,14.858595122401596,,,,,,1.0,9.0,0.82,hbm,2023-01-30,HBM
59.58012161254883,5.78315923006929,,,,,,1.0,10.0,0.82,hbm,2023-02-06,HBM
59.72396469116211,6.26347221076633,,,,,,1.0,10.0,0.82,hbm,2023-02-13,HBM
57.023887634277344,-7.0360409713142165,,,,,,1.0,8.0,0.82,hbm,2023-02-20,HBM
56.40958023071289,-7.711402415083246,-0.6250830029386671,,,,,1.0,4.0,0.82,hbm,2023-02-27,HBM
55.136637115478514,-7.45799836725144,-1.611082647964574,,,,,1.0,2.0,0.82,hbm,2023-03-06,HBM
54.29326553344727,-9.092998406581788,-1.7890872904931503,,,,,1.0,1.0,0.82,hbm,2023-03-13,HBM
58.512108612060544,2.6098202692315553,0.1703786330084285,,,,,1.0,1.0,0.82,hbm,2023-03-20,HBM
60.305266571044925,6.906072203336455,1.1494582507542672,,,,,1.0,2.0,0.82,hbm,2023-03-27,HBM
57.28703212738037,3.900120000786522,-0.1599211670517279,,,,,1.0,2.0,0.82,hbm,2023-04-03,HBM
62.08372955322265,14.34885881928778,2.4133385126374525,,,,,1.0,4.0,0.82,hbm,2023-04-10,HBM
60.75687713623047,3.836417072324138,1.2881435515931765,,,,,1.0,6.0,0.82,hbm,2023-04-17,HBM
60.207970428466794,-0.1613393789802852,0.8064983654680552,,,,,1.0,9.0,0.82,hbm,2023-04-24,HBM
60.59694366455078,5.777767523041977,0.7751284485784601,,,,,1.0,10.0,0.82,hbm,2023-05-01,HBM
