resource,feature,contribution,value
GPU,price_latest,-8.212096611907546,196.86750030517575
GPU,price_trend_4w,-0.5671346962441702,-9.270912563036838
GPU,price_zscore_8w,-0.343653344948588,-1.849987727786668
GPU,forecast_point_1m,0.0,
GPU,forecast_interval_width_1m,0.0,
GPU,forecast_disagreement_1m,0.0,
GPU,forecast_unstable_flag,0.0,
GPU,signal_severity_mean_4w,-0.5220752412725433,2.2
GPU,signal_count_4w,1.2185576787432226,20.0
GPU,hhi_country,1.3636106123053628,0.82
DRAM,price_latest,-6.043130838408635,1076.852523803711
DRAM,price_trend_4w,-0.834336961426662,6.847992968284022
DRAM,price_zscore_8w,-0.4551037039520428,1.0712055904957545
DRAM,forecast_point_1m,0.0,
DRAM,forecast_interval_width_1m,0.0,
DRAM,forecast_disagreement_1m,0.0,
DRAM,forecast_unstable_flag,0.0,
DRAM,signal_severity_mean_4w,-0.7348558182858083,4.052631578947368
DRAM,signal_count_4w,1.6730645890481333,19.0
DRAM,hhi_country,-0.1778341056210995,0.5278
HBM,price_latest,-8.164564760460124,1076.852523803711
HBM,price_trend_4w,-0.641563958859536,6.847992968284022
HBM,price_zscore_8w,-0.3976394777055381,1.0712055904957545
HBM,forecast_point_1m,0.0,
HBM,forecast_interval_width_1m,0.0,
HBM,forecast_disagreement_1m,0.0,
HBM,forecast_unstable_flag,0.0,
HBM,signal_severity_mean_4w,-0.6898182778333173,3.4
HBM,signal_count_4w,1.3833885370944352,10.0
HBM,hhi_country,1.4975599267669193,0.82
NAND,price_latest,-4.856435935258536,1076.852523803711
NAND,price_trend_4w,-1.1739087249492532,6.847992968284022
NAND,price_zscore_8w,-0.4399113178447246,1.0712055904957545
NAND,forecast_point_1m,0.0,
NAND,forecast_interval_width_1m,0.0,
NAND,forecast_disagreement_1m,0.0,
NAND,forecast_unstable_flag,0.0,
NAND,signal_severity_mean_4w,-0.4661285480327006,3.5
NAND,signal_count_4w,1.0130556033606912,10.0
NAND,hhi_country,-2.5033640200024965,0.365
