resource_id,week_start,risk_score
dram,2023-01-02,0.003271657507866621
dram,2023-01-09,9.187748946715146e-05
dram,2023-01-16,0.00016591008170507848
dram,2023-01-23,8.441007958026603e-05
dram,2023-01-30,0.0018670461140573025
dram,2023-02-06,7.824553176760674e-05
dram,2023-02-13,8.815753244562075e-05
dram,2023-02-20,0.0003025087935384363
dram,2023-02-27,0.00012542051263153553
dram,2023-03-06,0.0002695749863050878
dram,2023-03-13,0.0007965880795381963
dram,2023-03-20,4.755426198244095e-05
dram,2023-03-27,5.8871017245110124e-05
dram,2023-04-03,5.360917930374853e-05
dram,2023-04-10,0.0012713895412161946
dram,2023-04-17,6.410985224647447e-05
dram,2023-04-24,0.00011460019595688209
dram,2023-05-01,0.00013074776506982744
dram,2023-05-08,6.373580254148692e-05
dram,2023-05-15,0.014864224009215832
dram,2023-05-22,0.010320642963051796
dram,2023-05-29,0.001475975732319057
dram,2023-06-05,4.6351226046681404e-05
dram,2023-06-12,4.8513418732909486e-05
dram,2023-06-19,2.5532215659040958e-05
dram,2023-06-26,3.721785105881281e-05
dram,2023-07-03,0.0001089288925868459
dram,2023-07-10,6.914554978720844e-05
dram,2023-07-17,2.541001231293194e-05
dram,2023-07-24,3.356540037202649e-05
dram,2023-07-31,0.002181929536163807
dram,2023-08-07,2.5502677090116777e-05
dram,2023-08-14,2.8636641218326986e-05
dram,2023-08-21,3.900528827216476e-05
dram,2023-08-28,5.371497172745876e-05
dram,2023-09-04,0.00028314601513557136
dram,2023-09-11,0.00036802227259613574
dram,2023-09-18,0.00010360226588090882
dram,2023-09-25,3.504193227854557e-05
dram,2023-10-02,4.729597640107386e-05
dram,2023-10-09,0.00014728294627275318
dram,2023-10-16,8.22407309897244e-05
dram,2023-10-23,0.0017587135080248117
dram,2023-10-30,0.0016991386655718088
dram,2023-11-06,0.997828483581543
dram,2023-11-13,0.9982497692108154
dram,2023-11-20,0.9944886565208435
dram,2023-11-27,0.009834002703428268
dram,2023-12-04,0.01030888594686985
dram,2023-12-11,0.01539416890591383
dram,2023-12-18,0.009880837053060532
dram,2023-12-25,0.02059577777981758
dram,2024-01-01,0.9827516078948975
dram,2024-01-08,0.9924843311309814
dram,2024-01-15,0.99367356300354
dram,2024-01-22,0.9944062232971191
dram,2024-01-29,0.9828953146934509
dram,2024-02-05,0.9891101121902466
dram,2024-02-12,0.9924997091293335
dram,2024-02-19,0.9939435720443726
dram,2024-02-26,0.970517098903656
dram,2024-03-04,0.9920952320098877
dram,2024-03-11,0.9963160157203674
dram,2024-03-18,0.9999215602874756
dram,2024-03-25,0.9996867775917053
dram,2024-04-01,0.9993740320205688
dram,2024-04-08,0.9972761273384094
dram,2024-04-15,0.9799646735191345
dram,2024-04-22,0.8321411609649658
dram,2024-04-29,0.9189472794532776
dram,2024-05-06,0.8626818060874939
dram,2024-05-13,0.9186722636222839
dram,2024-05-20,0.9752811789512634
dram,2024-05-27,0.9748222231864929
dram,2024-06-03,0.9660361409187317
dram,2024-06-10,0.9930001497268677
dram,2024-06-17,0.9910353422164917
dram,2024-06-24,0.9860723614692688
dram,2024-07-01,0.9669603109359741
dram,2024-07-08,0.9696688652038574
dram,2024-07-15,0.9688757061958313
dram,2024-07-22,0.9403370022773743
dram,2024-07-29,0.9851217865943909
dram,2024-08-05,0.998912513256073
dram,2024-08-12,0.9976114630699158
dram,2024-08-19,0.9986098408699036
dram,2024-08-26,0.9999507665634155
dram,2024-09-02,0.9992905259132385
dram,2024-09-09,0.99982750415802
dram,2024-09-16,0.9997902512550354
dram,2024-09-23,0.9999145269393921
dram,2024-09-30,0.9999204874038696
dram,2024-10-07,0.999933123588562
dram,2024-10-14,0.9998504519462585
dram,2024-10-21,0.9991496801376343
dram,2024-10-28,0.9999435544013977
dram,2024-11-04,0.9993808269500732
dram,2024-11-11,0.9998728036880493
dram,2024-11-18,0.9999035000801086
dram,2024-11-25,0.999527096748352
dram,2024-12-02,0.9998084306716919
dram,2024-12-09,0.9999551773071289
dram,2024-12-16,0.999967098236084
dram,2024-12-23,0.9995965957641602
dram,2024-12-30,0.9995901584625244
dram,2025-01-06,0.9998289942741394
dram,2025-01-13,0.9998346567153931
dram,2025-01-20,0.9997926950454712
dram,2025-01-27,0.9998520612716675
dram,2025-02-03,0.9999269247055054
dram,2025-02-10,0.9999428391456604
dram,2025-02-17,0.9998862743377686
dram,2025-02-24,0.9998923540115356
dram,2025-03-03,0.9998977780342102
dram,2025-03-10,0.9999432563781738
dram,2025-03-17,0.9999382495880127
dram,2025-03-24,0.9999445676803589
dram,2025-03-31,0.9993947148323059
dram,2025-04-07,0.9990316033363342
dram,2025-04-14,0.9986994862556458
dram,2025-04-21,0.9993001222610474
dram,2025-04-28,0.9967586398124695
dram,2025-05-05,0.9985363483428955
dram,2025-05-12,0.9995754957199097
dram,2025-05-19,0.999872088432312
dram,2025-05-26,0.9998570680618286
