resource_id,week_start,risk_score
dram,2023-01-02,0.3734011650085449
dram,2023-01-09,0.37324151396751404
dram,2023-01-16,0.3669965863227844
dram,2023-01-23,0.39395302534103394
dram,2023-01-30,0.4504276514053345
dram,2023-02-06,0.4218722879886627
dram,2023-02-13,0.42829012870788574
dram,2023-02-20,0.2813342213630676
dram,2023-02-27,0.28838685154914856
dram,2023-03-06,0.29042309522628784
dram,2023-03-13,0.2912682294845581
dram,2023-03-20,0.28948479890823364
dram,2023-03-27,0.31049254536628723
dram,2023-04-03,0.29224660992622375
dram,2023-04-10,0.30920732021331787
dram,2023-04-17,0.2958441376686096
dram,2023-04-24,0.2815098762512207
dram,2023-05-01,0.28405359387397766
dram,2023-05-08,0.2789810299873352
dram,2023-05-15,0.30844584107398987
dram,2023-05-22,0.31170034408569336
dram,2023-05-29,0.311254620552063
dram,2023-06-05,0.3047492504119873
dram,2023-06-12,0.29569125175476074
dram,2023-06-19,0.28625673055648804
dram,2023-06-26,0.2887507677078247
dram,2023-07-03,0.2895393967628479
dram,2023-07-10,0.29028064012527466
dram,2023-07-17,0.2896397113800049
dram,2023-07-24,0.3043576776981354
dram,2023-07-31,0.30979496240615845
dram,2023-08-07,0.2962411344051361
dram,2023-08-14,0.28767263889312744
dram,2023-08-21,0.29012662172317505
dram,2023-08-28,0.29843977093696594
dram,2023-09-04,0.31185850501060486
dram,2023-09-11,0.31252261996269226
dram,2023-09-18,0.3072683811187744
dram,2023-09-25,0.28926882147789
dram,2023-10-02,0.28405630588531494
dram,2023-10-09,0.29024648666381836
dram,2023-10-16,0.28703734278678894
dram,2023-10-23,0.28404292464256287
dram,2023-10-30,0.27706649899482727
dram,2023-11-06,0.30106228590011597
dram,2023-11-13,0.30509716272354126
dram,2023-11-20,0.31253474950790405
dram,2023-11-27,0.3132244050502777
dram,2023-12-04,0.2831827700138092
dram,2023-12-11,0.308706134557724
dram,2023-12-18,0.29964935779571533
dram,2023-12-25,0.30980467796325684
dram,2024-01-01,0.40309691429138184
dram,2024-01-08,0.4279281198978424
dram,2024-01-15,0.3822532594203949
dram,2024-01-22,0.3759961426258087
dram,2024-01-29,0.2833711802959442
dram,2024-02-05,0.3256818354129791
dram,2024-02-12,0.379831999540329
dram,2024-02-19,0.37921640276908875
dram,2024-02-26,0.5445560216903687
dram,2024-03-04,0.8239412307739258
dram,2024-03-11,0.7997750639915466
dram,2024-03-18,0.8261194825172424
dram,2024-03-25,0.8265271782875061
dram,2024-04-01,0.8265760540962219
dram,2024-04-08,0.8264285326004028
dram,2024-04-15,0.8246809244155884
dram,2024-04-22,0.8239180445671082
dram,2024-04-29,0.8223679661750793
dram,2024-05-06,0.8289279341697693
dram,2024-05-13,0.8259642124176025
dram,2024-05-20,0.8262781500816345
dram,2024-05-27,0.8263317346572876
dram,2024-06-03,0.8261796832084656
dram,2024-06-10,0.8262264132499695
dram,2024-06-17,0.8263108134269714
dram,2024-06-24,0.8255937695503235
dram,2024-07-01,0.824686586856842
dram,2024-07-08,0.8233863115310669
dram,2024-07-15,0.8228276968002319
dram,2024-07-22,0.8227794766426086
dram,2024-07-29,0.8213669061660767
dram,2024-08-05,0.3154856860637665
dram,2024-08-12,0.8201905488967896
dram,2024-08-19,0.8213695883750916
dram,2024-08-26,0.8109404444694519
dram,2024-09-02,0.3040432333946228
dram,2024-09-09,0.30444255471229553
dram,2024-09-16,0.3074508309364319
dram,2024-09-23,0.8295456767082214
dram,2024-09-30,0.8255560398101807
dram,2024-10-07,0.8260571360588074
dram,2024-10-14,0.8263639211654663
dram,2024-10-21,0.8266512155532837
dram,2024-10-28,0.8288184404373169
dram,2024-11-04,0.8281639218330383
dram,2024-11-11,0.821368932723999
dram,2024-11-18,0.8199714422225952
dram,2024-11-25,0.8227312564849854
dram,2024-12-02,0.8215657472610474
dram,2024-12-09,0.82127445936203
dram,2024-12-16,0.8204021453857422
dram,2024-12-23,0.31074002385139465
dram,2024-12-30,0.7641650438308716
dram,2025-01-06,0.7865195274353027
dram,2025-01-13,0.7693397998809814
dram,2025-01-20,0.6048551797866821
dram,2025-01-27,0.33877837657928467
