resource_id,week_start,risk_score
dram,2023-01-02,0.0015758229953720573
dram,2023-01-09,3.850946607353981e-05
dram,2023-01-16,0.0008832466091683745
dram,2023-01-23,0.00129736743725177
dram,2023-01-30,0.008450190404908194
dram,2023-02-06,0.0011439327239589343
dram,2023-02-13,0.0011439327239589343
dram,2023-02-20,0.0014937735280254024
dram,2023-02-27,0.0001574456201735109
dram,2023-03-06,0.0001604430825818255
dram,2023-03-13,0.00018923104181857713
dram,2023-03-20,4.83500466046965e-05
dram,2023-03-27,3.929552512281051e-05
dram,2023-04-03,4.988444532551787e-05
dram,2023-04-10,0.00020843113982062816
dram,2023-04-17,0.0010585637980406262
dram,2023-04-24,0.0012678249337170532
dram,2023-05-01,0.0013580360851013311
dram,2023-05-08,0.001608935220537332
dram,2023-05-15,0.016345551966054396
dram,2023-05-22,0.006335260067620681
dram,2023-05-29,0.005125746807501886
dram,2023-06-05,4.905767159669864e-05
dram,2023-06-12,0.00013774646995842475
dram,2023-06-19,6.781064648895772e-05
dram,2023-06-26,6.720674223702046e-05
dram,2023-07-03,0.0001269670174180717
dram,2023-07-10,0.00012100787118602111
dram,2023-07-17,6.477735069751892e-05
dram,2023-07-24,5.817821328969844e-05
dram,2023-07-31,0.0005984649975958331
dram,2023-08-07,5.291781054544829e-05
dram,2023-08-14,4.899305670647361e-05
dram,2023-08-21,8.807494736298398e-05
dram,2023-08-28,8.094352165768579e-05
dram,2023-09-04,0.00011435478067282949
dram,2023-09-11,0.00011293772644308516
dram,2023-09-18,0.0001594148096024792
dram,2023-09-25,5.834949929593481e-05
dram,2023-10-02,0.00011867154707660193
dram,2023-10-09,0.0002441739307337309
dram,2023-10-16,0.00015151097675676146
dram,2023-10-23,0.0021800157264274347
dram,2023-10-30,0.004297124401327992
dram,2023-11-06,0.9996122338794798
dram,2023-11-13,0.9994790014314674
dram,2023-11-20,0.9994238469396803
dram,2023-11-27,0.0035830403555177264
dram,2023-12-04,0.007831688787224502
dram,2023-12-11,0.006851100840486321
dram,2023-12-18,0.004527838273224787
dram,2023-12-25,0.015044859591108753
dram,2024-01-01,0.9862717296274297
dram,2024-01-08,0.9949035957094954
dram,2024-01-15,0.9943303277999588
dram,2024-01-22,0.9977446884655888
dram,2024-01-29,0.9950727746039535
dram,2024-02-05,0.9946382001411184
dram,2024-02-12,0.9912857498285758
dram,2024-02-19,0.992982546403341
dram,2024-02-26,0.9778508936821015
dram,2024-03-04,0.9821961322812531
dram,2024-03-11,0.9967646425392236
dram,2024-03-18,0.9999382497625112
dram,2024-03-25,0.9999549959489464
dram,2024-04-01,0.9998026537603311
dram,2024-04-08,0.985793242032963
dram,2024-04-15,0.9850554879190696
dram,2024-04-22,0.9702745308217381
dram,2024-04-29,0.981595482595989
dram,2024-05-06,0.9780943733205137
dram,2024-05-13,0.997169025810935
dram,2024-05-20,0.998699475385053
dram,2024-05-27,0.9986751510145879
dram,2024-06-03,0.9969732610984826
dram,2024-06-10,0.9985013916919562
dram,2024-06-17,0.9934079798147741
dram,2024-06-24,0.9920883443812683
dram,2024-07-01,0.9908567807705398
dram,2024-07-08,0.990555773695054
dram,2024-07-15,0.9883061821920339
dram,2024-07-22,0.9888238328953284
dram,2024-07-29,0.9965467998143299
dram,2024-08-05,0.9998858845391668
dram,2024-08-12,0.9998189659621487
dram,2024-08-19,0.9999144254524097
dram,2024-08-26,0.9989377580637417
dram,2024-09-02,0.9997939891174344
dram,2024-09-09,0.9999108109522717
dram,2024-09-16,0.999683213471574
dram,2024-09-23,0.9987235468192659
dram,2024-09-30,0.999955394195851
dram,2024-10-07,0.9999577455836647
dram,2024-10-14,0.9999439232691633
dram,2024-10-21,0.9947660430735867
dram,2024-10-28,0.9996011715525188
dram,2024-11-04,0.9993451744798152
dram,2024-11-11,0.9997241047084536
dram,2024-11-18,0.999858058629218
dram,2024-11-25,0.9996703794322142
dram,2024-12-02,0.999493776112953
dram,2024-12-09,0.9997232460722659
dram,2024-12-16,0.9995332711796622
dram,2024-12-23,0.9983890698686181
dram,2024-12-30,0.9996425262579235
dram,2025-01-06,0.9997539584157904
dram,2025-01-13,0.9996881272394321
dram,2025-01-20,0.9998913821046358
dram,2025-01-27,0.9992421461849866
dram,2025-02-03,0.9999122618454033
dram,2025-02-10,0.9998363534934744
dram,2025-02-17,0.9996747625751546
dram,2025-02-24,0.9993109966001595
dram,2025-03-03,0.9995472399808698
dram,2025-03-10,0.9994828705081186
dram,2025-03-17,0.9985875487053602
dram,2025-03-24,0.9991532996749188
dram,2025-03-31,0.999796337516786
dram,2025-04-07,0.9994831490725751
dram,2025-04-14,0.9989053125298872
dram,2025-04-21,0.9934613975298551
dram,2025-04-28,0.9982576032563005
dram,2025-05-05,0.9997346759004884
dram,2025-05-12,0.9997019548962579
dram,2025-05-19,0.9999281850790085
dram,2025-05-26,0.9998708948987551
dram,2025-06-02,0.9999434341059138
dram,2025-06-09,0.9999074926983272
dram,2025-06-16,0.9999233367392777
dram,2025-06-23,0.9998510777248084
dram,2025-06-30,0.9996157268278331
dram,2025-07-07,0.020130263591601628
dram,2025-07-14,0.037387806711257195
dram,2025-07-21,0.012573362910993851
dram,2025-07-28,0.03577117892632917
dram,2025-08-04,0.03649907654265526
dram,2025-08-11,0.018472339626591745
dram,2025-08-18,0.005449093619990674
dram,2025-08-25,0.007311001949472932
dram,2025-09-01,0.008543333102756706
dram,2025-09-08,0.9996109908106486
dram,2025-09-15,0.9948153947327801
dram,2025-09-22,0.9584535884076147
dram,2025-09-29,0.019595004336677897
dram,2025-10-06,0.021218938894052415
dram,2025-10-13,0.06735701941634219
dram,2025-10-20,0.06740354270785417
dram,2025-10-27,0.12238059125379355
dram,2025-11-03,0.16695910620440027
dram,2025-11-10,0.16695910620440027
dram,2025-11-17,0.05083703000185344
dram,2025-11-24,0.005637118105482985
dram,2025-12-01,0.004577377214834668
dram,2025-12-08,0.010903517105754946
dram,2025-12-15,0.006279342957274231
dram,2025-12-22,0.6727868471276168
dram,2025-12-29,0.2042390087518685
dram,2026-01-05,0.2042390087518685
dram,2026-01-12,0.2042390087518685
dram,2026-01-19,0.2042390087518685
dram,2026-01-26,0.11349663054103692
dram,2026-02-02,0.15214385224065322
dram,2026-02-09,0.15214385224065322
dram,2026-02-16,0.1001084386537781
dram,2026-02-23,0.4058000175019484
dram,2026-03-02,0.021218938894052415
dram,2026-03-09,0.00877958233728998
dram,2026-03-16,0.013723550022785089
dram,2026-03-23,0.007623860266954982
dram,2026-03-30,0.02669112087760466
dram,2026-04-06,0.08915389532706211
dram,2026-04-13,0.07469686301268162
dram,2026-04-20,0.16695910620440027
dram,2026-04-27,0.08228201266893695
dram,2026-05-04,0.7122821327504255
dram,2026-05-11,0.08228201266893695
dram,2026-05-18,0.01631139128695384
dram,2026-05-25,0.11912198685968607
dram,2026-06-01,0.0668911087141501
dram,2026-06-08,0.0682337252231968
dram,2026-06-15,0.02439977117071228
dram,2026-06-22,0.06535351628880735
dram,2026-06-29,0.02044883649748494
gpu,2023-01-02,0.9977528380287471
gpu,2023-01-09,0.9977528380287471
gpu,2023-01-16,0.9979016212878701
gpu,2023-01-23,0.9945341425933427
gpu,2023-01-30,0.9853966488320881
gpu,2023-02-06,0.9853966488320881
gpu,2023-02-13,0.9974030459226091
gpu,2023-02-20,0.9951891436413933
gpu,2023-02-27,0.022335290009004086
gpu,2023-03-06,0.9966222815499504
gpu,2023-03-13,0.9953764648209571
gpu,2023-03-20,0.9991033871133662
gpu,2023-03-27,0.9988050391037546
gpu,2023-04-03,0.9987828103904914
gpu,2023-04-10,0.9988276063089531
gpu,2023-04-17,0.9996615337505246
gpu,2023-04-24,0.9958892691748321
gpu,2023-05-01,0.9979931888271714
gpu,2023-05-08,0.9987229929535949
gpu,2023-05-15,0.9999234803656539
gpu,2023-05-22,0.9998909341310004
gpu,2023-05-29,0.9993822208048748
gpu,2023-06-05,0.9950031231489224
gpu,2023-06-12,0.9962246862193626
gpu,2023-06-19,0.999111581182173
gpu,2023-06-26,0.9997754194654566
gpu,2023-07-03,0.9997297700422038
gpu,2023-07-10,0.9997035033830026
gpu,2023-07-17,0.9995895222978093
gpu,2023-07-24,0.9988439246787809
gpu,2023-07-31,0.9996483827786382
gpu,2023-08-07,0.9996639481278652
gpu,2023-08-14,0.9997148531555456
gpu,2023-08-21,0.999464173472329
gpu,2023-08-28,0.9998679092916497
gpu,2023-09-04,0.9997994953316188
gpu,2023-09-11,0.9997670925151235
gpu,2023-09-18,0.999670827329047
gpu,2023-09-25,0.9998594571422467
gpu,2023-10-02,0.9997101627235592
gpu,2023-10-09,0.9997521748424771
gpu,2023-10-16,0.9997341952737657
gpu,2023-10-23,0.9991012999542036
gpu,2023-10-30,0.9993098904228972
gpu,2023-11-06,0.9993649290792249
gpu,2023-11-13,0.9906880348582475
gpu,2023-11-20,0.9974095822152366
gpu,2023-11-27,0.999665449764522
gpu,2023-12-04,0.9997101627235592
gpu,2023-12-11,0.9997365000540713
gpu,2023-12-18,0.9997873843496501
gpu,2023-12-25,0.9974904208790691
gpu,2024-01-01,0.9988856305174043
gpu,2024-01-08,0.9988718030663527
gpu,2024-01-15,0.999389859002683
gpu,2024-01-22,0.999139245495451
gpu,2024-01-29,0.9938598248785019
gpu,2024-02-05,0.9997305457959373
gpu,2024-02-12,0.9999733196314546
gpu,2024-02-19,0.999906049171814
gpu,2024-02-26,0.9999613532726495
gpu,2024-03-04,0.9999589580366703
gpu,2024-03-11,0.9999611921498031
gpu,2024-03-18,0.9999116200912816
gpu,2024-03-25,0.9999634208167658
gpu,2024-04-01,0.9999502387528874
gpu,2024-04-08,0.999907451559765
